INSERT INTO assignments (laboriousness, issue_date, planned_expiration_date, real_expiration_date, project_id, employee_id) VALUES
(3, '2023-01-12 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 9),
(2, '2022-12-13 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 7),
(3, '2023-02-03 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 10),
(12, '2023-02-03 12:00:00', '2023-02-05 12:00:00', '2023-02-14 12:00:00', 7, 9),
(10, '2022-10-21 12:00:00', '2022-10-29 12:00:00', '2022-10-30 12:00:00', 1, 4),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 7),
(5, '2023-01-10 12:00:00', '2023-01-12 12:00:00', '2023-01-14 12:00:00', 4, 4),
(15, '2022-11-15 12:00:00', '2022-11-26 12:00:00', '2022-11-29 12:00:00', 2, 2),
(10, '2023-01-05 12:00:00', '2023-01-13 12:00:00', '2023-01-14 12:00:00', 4, 1),
(10, '2023-01-05 12:00:00', '2023-01-07 12:00:00', '2023-01-14 12:00:00', 4, 4),
(3, '2023-03-04 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 3),
(4, '2023-02-11 12:00:00', '2023-02-14 12:00:00', '2023-02-14 12:00:00', 7, 6),
(23, '2022-11-07 12:00:00', '2022-11-14 12:00:00', '2022-11-29 12:00:00', 2, 4),
(3, '2023-01-12 12:00:00', '2023-01-13 12:00:00', '2023-01-14 12:00:00', 4, 7),
(6, '2023-01-31 12:00:00', '2023-02-04 12:00:00', '2023-02-05 12:00:00', 6, 10),
(18, '2022-11-12 12:00:00', '2022-11-14 12:00:00', '2022-11-29 12:00:00', 2, 6),
(5, '2023-03-02 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(9, '2022-12-06 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 1),
(6, '2023-01-20 12:00:00', '2023-01-21 12:00:00', '2023-01-25 12:00:00', 5, 1),
(10, '2022-10-21 12:00:00', '2022-10-30 12:00:00', '2022-10-30 12:00:00', 1, 2),
(6, '2022-10-25 12:00:00', '2022-10-27 12:00:00', '2022-10-30 12:00:00', 1, 9),
(8, '2023-02-07 12:00:00', '2023-02-09 12:00:00', '2023-02-14 12:00:00', 7, 7),
(3, '2023-02-12 12:00:00', '2023-02-14 12:00:00', '2023-02-14 12:00:00', 7, 5),
(8, '2023-01-07 12:00:00', '2023-01-09 12:00:00', '2023-01-14 12:00:00', 4, 7),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 1),
(2, '2023-02-04 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 3),
(2, '2023-01-13 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 3),
(6, '2023-03-01 12:00:00', '2023-03-03 12:00:00', '2023-03-06 12:00:00', 8, 8),
(3, '2023-03-04 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 8),
(9, '2022-11-21 12:00:00', '2022-11-27 12:00:00', '2022-11-29 12:00:00', 2, 1),
(5, '2023-02-10 12:00:00', '2023-02-11 12:00:00', '2023-02-14 12:00:00', 7, 6),
(11, '2022-10-20 12:00:00', '2022-10-29 12:00:00', '2022-10-30 12:00:00', 1, 4),
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 4),
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 1),
(3, '2023-01-12 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 4),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 10),
(3, '2023-03-04 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 1),
(2, '2023-02-04 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 2),
(5, '2023-01-10 12:00:00', '2023-01-12 12:00:00', '2023-01-14 12:00:00', 4, 5),
(2, '2023-03-14 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 1),
(4, '2023-01-22 12:00:00', '2023-01-23 12:00:00', '2023-01-25 12:00:00', 5, 9),
(5, '2022-12-10 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 1),
(13, '2022-10-18 12:00:00', '2022-10-27 12:00:00', '2022-10-30 12:00:00', 1, 1),
(8, '2023-02-27 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(13, '2022-12-02 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 3),
(8, '2023-02-27 12:00:00', '2023-03-01 12:00:00', '2023-03-06 12:00:00', 8, 10),
(8, '2023-01-29 12:00:00', '2023-01-31 12:00:00', '2023-02-05 12:00:00', 6, 8),
(13, '2022-10-18 12:00:00', '2022-10-21 12:00:00', '2022-10-30 12:00:00', 1, 10),
(3, '2022-12-12 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 5),
(28, '2022-11-02 12:00:00', '2022-11-12 12:00:00', '2022-11-29 12:00:00', 2, 5),
(3, '2023-03-04 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 1),
(15, '2022-11-15 12:00:00', '2022-11-22 12:00:00', '2022-11-29 12:00:00', 2, 4),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 2),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 4),
(8, '2022-12-07 12:00:00', '2022-12-11 12:00:00', '2022-12-14 12:00:00', 3, 7),
(5, '2022-10-26 12:00:00', '2022-10-27 12:00:00', '2022-10-30 12:00:00', 1, 4),
(8, '2023-01-18 12:00:00', '2023-01-21 12:00:00', '2023-01-25 12:00:00', 5, 9),
(6, '2023-01-31 12:00:00', '2023-02-03 12:00:00', '2023-02-05 12:00:00', 6, 7),
(3, '2023-01-23 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 1),
(11, '2023-02-04 12:00:00', '2023-02-11 12:00:00', '2023-02-14 12:00:00', 7, 10),
(5, '2022-11-25 12:00:00', '2022-11-27 12:00:00', '2022-11-29 12:00:00', 2, 3),
(7, '2023-02-28 12:00:00', '2023-03-03 12:00:00', '2023-03-06 12:00:00', 8, 7),
(7, '2023-03-09 12:00:00', '2023-03-10 12:00:00', '2023-03-15 12:00:00', 9, 8),
(19, '2022-11-11 12:00:00', '2022-11-28 12:00:00', '2022-11-29 12:00:00', 2, 10),
(7, '2023-02-28 12:00:00', '2023-03-04 12:00:00', '2023-03-06 12:00:00', 8, 2),
(14, '2022-10-17 12:00:00', '2022-10-22 12:00:00', '2022-10-30 12:00:00', 1, 1),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 10),
(20, '2023-01-26 12:00:00', '2023-01-28 12:00:00', '2023-02-14 12:00:00', 7, 2),
(3, '2023-03-04 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 4),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 4),
(2, '2023-03-14 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 9),
(4, '2023-03-03 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(3, '2022-12-12 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 9),
(8, '2023-03-08 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 2),
(6, '2023-01-31 12:00:00', '2023-02-02 12:00:00', '2023-02-05 12:00:00', 6, 8),
(20, '2023-01-26 12:00:00', '2023-02-05 12:00:00', '2023-02-14 12:00:00', 7, 10),
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 5),
(4, '2023-02-11 12:00:00', '2023-02-12 12:00:00', '2023-02-14 12:00:00', 7, 10),
(4, '2023-01-22 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 5),
(3, '2023-02-03 12:00:00', '2023-02-04 12:00:00', '2023-02-05 12:00:00', 6, 10),
(8, '2023-02-27 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(5, '2023-01-21 12:00:00', '2023-01-22 12:00:00', '2023-01-25 12:00:00', 5, 9),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(6, '2023-03-10 12:00:00', '2023-03-11 12:00:00', '2023-03-15 12:00:00', 9, 9),
(5, '2023-03-02 12:00:00', '2023-03-03 12:00:00', '2023-03-06 12:00:00', 8, 1),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 10),
(7, '2023-03-09 12:00:00', '2023-03-11 12:00:00', '2023-03-15 12:00:00', 9, 5),
(2, '2023-03-14 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 2),
(15, '2023-01-31 12:00:00', '2023-02-03 12:00:00', '2023-02-14 12:00:00', 7, 10),
(12, '2022-12-03 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 7),
(8, '2022-12-07 12:00:00', '2022-12-08 12:00:00', '2022-12-14 12:00:00', 3, 2),
(6, '2022-11-24 12:00:00', '2022-11-27 12:00:00', '2022-11-29 12:00:00', 2, 7),
(5, '2022-10-26 12:00:00', '2022-10-29 12:00:00', '2022-10-30 12:00:00', 1, 6),
(4, '2023-03-12 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 4),
(5, '2022-10-26 12:00:00', '2022-10-27 12:00:00', '2022-10-30 12:00:00', 1, 4),
(4, '2023-03-03 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 10),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 3),
(8, '2023-03-08 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 10),
(19, '2023-01-27 12:00:00', '2023-02-14 12:00:00', '2023-02-14 12:00:00', 7, 8),
(6, '2023-01-31 12:00:00', '2023-02-02 12:00:00', '2023-02-05 12:00:00', 6, 7),
(8, '2023-01-29 12:00:00', '2023-02-03 12:00:00', '2023-02-05 12:00:00', 6, 8),
(8, '2023-01-07 12:00:00', '2023-01-08 12:00:00', '2023-01-14 12:00:00', 4, 8),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(2, '2023-02-04 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 9),
(4, '2023-03-12 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 8),
(10, '2022-12-05 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 3),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(17, '2022-11-13 12:00:00', '2022-11-14 12:00:00', '2022-11-29 12:00:00', 2, 9),
(5, '2023-01-21 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 7),
(2, '2022-12-13 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 1),
(3, '2023-04-27 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(3, '2023-01-23 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 5),
(8, '2023-02-07 12:00:00', '2023-02-13 12:00:00', '2023-02-14 12:00:00', 7, 2),
(13, '2022-10-18 12:00:00', '2022-10-30 12:00:00', '2022-10-30 12:00:00', 1, 3),
(2, '2023-01-13 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 2),
(5, '2023-02-01 12:00:00', '2023-02-03 12:00:00', '2023-02-05 12:00:00', 6, 6),
(7, '2023-01-30 12:00:00', '2023-02-02 12:00:00', '2023-02-05 12:00:00', 6, 10),
(3, '2023-04-27 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(3, '2023-04-27 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 8),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 1),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 5),
(2, '2023-01-24 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 5),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 10),
(3, '2023-04-27 12:00:00', '2023-04-28 12:00:00', '2023-04-29 12:00:00', 10, 6),
(7, '2023-03-09 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 9),
(7, '2023-01-30 12:00:00', '2023-02-01 12:00:00', '2023-02-05 12:00:00', 6, 7),
(11, '2022-12-04 12:00:00', '2022-12-13 12:00:00', '2022-12-14 12:00:00', 3, 4),
(5, '2023-03-11 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 1),
(4, '2023-03-12 12:00:00', '2023-03-13 12:00:00', '2023-03-15 12:00:00', 9, 3),
(7, '2023-02-08 12:00:00', '2023-02-13 12:00:00', '2023-02-14 12:00:00', 7, 7),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 4),
(8, '2022-11-22 12:00:00', '2022-11-29 12:00:00', '2022-11-29 12:00:00', 2, 3),
(6, '2022-11-24 12:00:00', '2022-11-27 12:00:00', '2022-11-29 12:00:00', 2, 9),
(2, '2022-12-13 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 9),
(10, '2022-12-05 12:00:00', '2022-12-08 12:00:00', '2022-12-14 12:00:00', 3, 1),
(3, '2023-03-04 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 2),
(4, '2022-12-11 12:00:00', '2022-12-12 12:00:00', '2022-12-14 12:00:00', 3, 1),
(24, '2022-11-06 12:00:00', '2022-11-14 12:00:00', '2022-11-29 12:00:00', 2, 9),
(5, '2023-03-11 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 4),
(17, '2023-01-29 12:00:00', '2023-02-07 12:00:00', '2023-02-14 12:00:00', 7, 6),
(6, '2023-03-10 12:00:00', '2023-03-12 12:00:00', '2023-03-15 12:00:00', 9, 1),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 4),
(4, '2023-01-22 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 1),
(19, '2022-11-11 12:00:00', '2022-11-20 12:00:00', '2022-11-29 12:00:00', 2, 3),
(3, '2023-01-23 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 4),
(2, '2023-03-14 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 7),
(6, '2023-01-31 12:00:00', '2023-02-02 12:00:00', '2023-02-05 12:00:00', 6, 10),
(25, '2022-11-05 12:00:00', '2022-11-22 12:00:00', '2022-11-29 12:00:00', 2, 4),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 9),
(2, '2022-12-13 12:00:00', '2022-12-14 12:00:00', '2022-12-14 12:00:00', 3, 5),
(20, '2022-11-10 12:00:00', '2022-11-22 12:00:00', '2022-11-29 12:00:00', 2, 8),
(10, '2022-11-20 12:00:00', '2022-11-22 12:00:00', '2022-11-29 12:00:00', 2, 4),
(4, '2023-03-12 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 2),
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 2),
(19, '2023-01-27 12:00:00', '2023-02-09 12:00:00', '2023-02-14 12:00:00', 7, 10),
(5, '2023-03-02 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 1),
(8, '2023-02-27 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 2),
(7, '2023-01-19 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 10),
(7, '2023-02-28 12:00:00', '2023-03-04 12:00:00', '2023-03-06 12:00:00', 8, 4),
(3, '2023-03-04 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 4),
(9, '2023-01-06 12:00:00', '2023-01-12 12:00:00', '2023-01-14 12:00:00', 4, 3),
(22, '2022-11-08 12:00:00', '2022-11-16 12:00:00', '2022-11-29 12:00:00', 2, 10),
(5, '2023-01-21 12:00:00', '2023-01-23 12:00:00', '2023-01-25 12:00:00', 5, 1),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 2),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 5),
(10, '2023-02-05 12:00:00', '2023-02-10 12:00:00', '2023-02-14 12:00:00', 7, 10),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 4),
(20, '2023-01-26 12:00:00', '2023-02-11 12:00:00', '2023-02-14 12:00:00', 7, 6),
(9, '2022-10-22 12:00:00', '2022-10-28 12:00:00', '2022-10-30 12:00:00', 1, 3),
(7, '2023-03-09 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 7),
(2, '2023-01-24 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 6),
(25, '2022-11-05 12:00:00', '2022-11-26 12:00:00', '2022-11-29 12:00:00', 2, 8),
(8, '2023-03-08 12:00:00', '2023-03-09 12:00:00', '2023-03-15 12:00:00', 9, 5),
(10, '2022-10-21 12:00:00', '2022-10-25 12:00:00', '2022-10-30 12:00:00', 1, 8),
(7, '2023-01-19 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 3),
(17, '2023-01-29 12:00:00', '2023-02-12 12:00:00', '2023-02-14 12:00:00', 7, 9),
(2, '2023-02-04 12:00:00', '2023-02-05 12:00:00', '2023-02-05 12:00:00', 6, 2),
(4, '2023-04-26 12:00:00', '2023-04-27 12:00:00', '2023-04-29 12:00:00', 10, 7),
(7, '2023-01-08 12:00:00', '2023-01-10 12:00:00', '2023-01-14 12:00:00', 4, 9),
(27, '2022-11-03 12:00:00', '2022-11-10 12:00:00', '2022-11-29 12:00:00', 2, 8),
(14, '2023-02-01 12:00:00', '2023-02-04 12:00:00', '2023-02-14 12:00:00', 7, 7),
(7, '2022-10-24 12:00:00', '2022-10-27 12:00:00', '2022-10-30 12:00:00', 1, 3),
(9, '2022-10-22 12:00:00', '2022-10-28 12:00:00', '2022-10-30 12:00:00', 1, 3),
(3, '2023-03-13 12:00:00', '2023-03-14 12:00:00', '2023-03-15 12:00:00', 9, 5),
(4, '2023-04-26 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 9),
(13, '2022-10-18 12:00:00', '2022-10-19 12:00:00', '2022-10-30 12:00:00', 1, 2),
(3, '2023-03-13 12:00:00', '2023-03-15 12:00:00', '2023-03-15 12:00:00', 9, 10),
(4, '2023-01-22 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 1),
(4, '2022-11-26 12:00:00', '2022-11-29 12:00:00', '2022-11-29 12:00:00', 2, 5),
(10, '2022-12-05 12:00:00', '2022-12-11 12:00:00', '2022-12-14 12:00:00', 3, 6),
(2, '2022-11-28 12:00:00', '2022-11-29 12:00:00', '2022-11-29 12:00:00', 2, 1),
(6, '2023-03-01 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 7),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 4),
(7, '2023-01-08 12:00:00', '2023-01-11 12:00:00', '2023-01-14 12:00:00', 4, 7),
(3, '2023-02-12 12:00:00', '2023-02-14 12:00:00', '2023-02-14 12:00:00', 7, 4),
(8, '2022-10-23 12:00:00', '2022-10-30 12:00:00', '2022-10-30 12:00:00', 1, 3),
(4, '2023-02-02 12:00:00', '2023-02-03 12:00:00', '2023-02-05 12:00:00', 6, 1),
(10, '2023-02-05 12:00:00', '2023-02-12 12:00:00', '2023-02-14 12:00:00', 7, 5),
(7, '2022-11-23 12:00:00', '2022-11-25 12:00:00', '2022-11-29 12:00:00', 2, 4),
(2, '2023-04-28 12:00:00', '2023-04-29 12:00:00', '2023-04-29 12:00:00', 10, 3),
(11, '2023-02-04 12:00:00', '2023-02-11 12:00:00', '2023-02-14 12:00:00', 7, 1),
(6, '2023-01-20 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 2),
(4, '2023-01-11 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 10),
(4, '2023-01-11 12:00:00', '2023-01-14 12:00:00', '2023-01-14 12:00:00', 4, 9),
(4, '2023-01-11 12:00:00', '2023-01-13 12:00:00', '2023-01-14 12:00:00', 4, 9),
(2, '2023-03-05 12:00:00', '2023-03-06 12:00:00', '2023-03-06 12:00:00', 8, 4),
(10, '2023-01-05 12:00:00', '2023-01-10 12:00:00', '2023-01-14 12:00:00', 4, 2),
(4, '2023-01-22 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 7),
(8, '2023-02-27 12:00:00', '2023-03-05 12:00:00', '2023-03-06 12:00:00', 8, 7),
(4, '2023-02-11 12:00:00', '2023-02-14 12:00:00', '2023-02-14 12:00:00', 7, 2),
(8, '2023-01-18 12:00:00', '2023-01-25 12:00:00', '2023-01-25 12:00:00', 5, 7),
(3, '2023-01-23 12:00:00', '2023-01-24 12:00:00', '2023-01-25 12:00:00', 5, 7),
